Frame Number,Vehicle Count,Emergency Count
1,19,2
2,19,2
3,18,2
4,18,2
5,20,2
6,19,2
7,19,2
8,19,2
9,20,2
10,19,2
11,20,2
12,21,2
13,22,2
14,23,2
15,21,2
16,20,2
17,21,2
18,20,2
19,21,2
20,22,2
21,20,2
22,20,2
23,20,2
24,22,2
25,24,2
26,23,2
27,24,2
28,22,2
29,24,2
30,23,2
31,25,2
32,25,2
33,25,2
34,21,2
35,23,2
36,22,2
37,25,2
38,24,2
39,24,2
40,24,2
41,21,2
42,21,2
43,21,2
44,22,2
45,23,2
46,22,2
47,24,2
48,25,2
49,23,2
50,22,2
51,24,2
52,24,2
53,23,2
54,25,2
55,23,2
56,23,2
57,24,2
58,25,2
59,22,2
60,24,2
61,23,2
62,26,2
63,25,2
64,23,2
65,26,2
66,25,2
67,26,2
68,24,2
69,25,2
70,26,2
71,21,2
72,26,2
73,24,2
74,26,2
75,24,2
76,26,2
77,26,2
78,27,2
79,27,2
80,26,2
81,25,2
82,26,2
83,28,2
84,26,2
85,26,2
86,25,2
87,25,2
88,26,2
89,24,2
90,23,2
91,23,2
92,22,2
93,22,2
94,23,2
95,26,2
96,23,2
97,24,2
98,24,2
99,24,2
100,23,2
101,24,2
102,26,2
103,28,2
104,28,2
105,27,2
106,22,2
107,24,2
108,24,2
109,25,2
110,25,2
111,23,2
112,25,2
113,24,2
114,23,2
115,22,2
116,21,2
117,22,2
118,20,2
119,21,2
120,22,2
121,24,2
122,22,2
123,22,2
124,22,2
125,23,2
126,24,2
127,22,2
128,23,2
129,20,2
130,20,2
131,20,2
132,19,2
133,21,2
134,24,2
135,24,2
136,25,2
137,24,2
138,22,2
139,24,2
140,23,2
141,25,2
142,25,2
143,24,2
144,23,2
145,23,2
146,24,2
147,24,2
148,23,2
149,23,2
150,24,2
151,24,2
152,25,2
153,26,2
154,25,2
155,25,2
156,26,2
157,24,2
158,24,2
159,25,2
160,26,2
161,27,2
162,26,2
163,27,2
164,29,2
165,27,2
166,27,2
167,27,2
168,26,2
169,25,2
170,25,2
171,26,2
172,25,2
173,22,2
174,21,2
175,23,2
176,20,2
177,21,2
178,22,2
179,22,2
180,22,2
181,21,2
182,20,2
183,23,2
184,23,2
185,23,2
186,23,2
187,21,2
188,23,2
189,23,2
190,24,2
191,24,2
192,23,2
193,23,2
194,25,2
195,28,2
196,24,2
197,25,2
198,25,2
199,26,2
200,28,2
201,29,2
202,27,2
203,28,2
204,28,2
205,26,2
206,26,2
207,29,2
208,28,2
209,27,2
210,26,2
211,28,2
212,27,2
213,26,2
214,27,2
215,26,2
216,25,2
217,26,2
218,29,2
219,27,2
220,25,2
221,24,2
222,24,2
223,24,2
224,24,2
225,24,2
226,24,2
227,25,2
228,23,2
229,23,2
230,23,2
231,24,2
232,24,2
233,24,2
234,24,2
235,25,2
236,26,2
237,27,2
238,27,2
239,26,2
240,27,2
241,26,2
242,27,2
243,24,2
244,26,2
245,25,2
246,24,2
247,26,2
248,25,2
249,26,2
250,28,2
251,28,2
252,29,2
253,28,2
254,28,2
255,26,2
256,27,2
257,27,2
258,27,2
259,28,2
260,28,2
261,28,2
262,31,2
263,29,2
264,28,2
265,28,2
266,28,2
267,27,2
268,25,2
269,24,2
270,25,2
271,24,2
272,23,2
273,23,2
274,23,2
275,23,2
276,24,2
277,23,2
278,23,2
279,24,2
280,23,2
281,22,2
282,22,2
283,22,2
284,21,2
285,22,2
286,23,2
287,24,2
288,24,2
289,25,2
290,25,2
291,25,2
292,25,2
293,25,2
294,23,2
295,23,2
296,25,2
297,25,2
298,25,2
299,24,2
300,22,2
301,21,2
302,24,2
303,27,2
304,27,2
305,25,2
306,25,2
307,21,2
308,22,2
309,22,2
310,22,2
311,23,2
312,23,2
313,22,2
314,21,2
315,23,2
316,22,2
317,22,2
318,24,2
319,23,2
320,21,2
321,24,2
322,23,2
323,25,2
324,23,2
325,23,2
326,23,2
327,23,2
328,24,2
329,23,2
330,23,2
331,24,2
332,26,2
333,24,2
334,25,2
335,24,2
336,24,2
337,24,2
338,22,2
339,22,2
340,22,2
341,22,2
342,22,2
343,23,2
344,24,2
345,26,2
346,25,2
347,24,2
348,24,2
349,24,2
350,25,2
351,25,2
352,24,2
353,22,2
354,21,2
355,21,2
356,20,2
357,24,2
358,24,2
359,21,2
360,22,2
361,20,2
362,19,2
363,23,2
364,21,2
365,22,2
