Frame Number,Vehicle Count,Emergency Count
1,21,1
2,19,1
3,19,1
4,19,1
5,18,1
6,18,1
7,18,1
8,15,1
9,18,1
10,14,1
11,15,1
12,13,1
13,13,1
14,15,1
15,12,1
16,12,1
17,13,1
18,15,1
19,17,1
20,19,1
21,15,1
22,15,1
23,17,1
24,18,1
25,16,1
26,16,1
27,15,1
28,15,1
29,14,1
30,13,1
31,14,1
32,14,1
33,11,1
34,13,1
35,17,1
36,16,1
37,14,1
38,17,1
39,13,1
40,14,1
41,14,1
42,12,1
43,12,1
44,11,1
45,11,1
46,11,1
47,14,1
48,11,1
49,10,1
50,15,1
51,10,1
52,12,1
53,11,1
54,9,1
55,10,1
56,11,1
57,11,1
58,10,1
59,11,1
60,11,1
61,10,1
62,9,1
63,6,1
64,8,1
65,7,1
66,8,1
67,8,1
68,6,1
69,6,1
70,10,1
71,11,1
72,10,1
73,9,1
74,14,1
75,13,1
76,10,1
77,12,1
78,10,1
79,10,1
80,15,1
81,13,1
82,13,1
83,11,1
84,7,1
85,7,1
86,6,1
87,7,1
88,9,1
89,8,1
90,9,1
91,11,1
92,7,1
93,10,1
94,8,1
95,7,1
96,5,1
97,7,1
98,8,1
99,3,1
100,8,1
101,7,1
102,8,1
103,6,1
104,7,1
105,6,1
106,6,1
107,9,1
108,8,1
109,7,1
110,7,1
111,6,1
112,6,1
113,8,1
114,7,1
115,8,1
116,9,1
117,9,1
118,9,1
119,11,1
120,12,1
121,12,1
122,9,1
123,9,1
124,9,1
125,10,1
126,9,1
127,11,1
128,11,1
129,8,1
130,9,1
131,11,1
132,9,1
133,11,1
134,10,1
135,8,1
136,10,1
137,9,1
138,10,1
139,13,1
140,9,1
141,11,1
142,12,1
143,11,1
144,9,1
145,10,1
146,9,1
147,13,1
148,12,1
149,9,1
150,8,1
151,9,1
152,10,1
153,9,1
154,8,1
155,11,1
156,6,1
157,8,1
158,9,1
159,8,1
160,9,1
161,8,1
162,6,1
163,8,1
164,8,1
165,8,1
166,10,1
167,9,1
168,10,1
169,9,1
170,11,1
171,10,1
172,12,1
173,9,1
174,10,1
175,11,1
176,9,1
177,8,1
178,8,1
179,9,1
180,6,1
181,5,1
182,5,1
183,8,1
184,8,1
185,9,1
186,5,1
187,7,1
188,6,1
189,9,1
190,12,1
191,10,1
192,12,1
193,13,1
194,10,1
195,13,1
196,9,1
197,9,1
198,10,1
199,11,1
200,11,1
201,11,1
202,6,1
203,7,1
204,14,1
205,10,1
206,11,1
207,6,1
208,9,1
209,8,1
210,5,1
211,5,1
212,4,1
213,5,1
214,4,1
215,4,1
216,5,1
217,9,1
218,8,1
219,8,1
220,7,1
221,6,1
222,11,1
223,9,1
224,10,1
225,9,1
226,11,1
227,7,1
228,5,1
229,6,1
230,6,1
231,9,1
232,6,1
233,5,1
234,9,1
235,13,1
236,12,1
237,12,1
238,13,1
239,15,1
240,13,1
241,13,1
242,12,1
243,13,1
244,14,1
245,17,1
246,13,1
247,16,1
248,16,1
249,14,1
250,11,1
251,11,1
252,13,1
253,13,1
254,13,1
255,12,1
256,12,1
257,10,1
258,14,1
259,12,1
260,13,1
261,14,1
262,15,1
263,13,1
264,14,1
265,12,1
266,14,1
267,16,1
268,15,1
269,11,1
270,12,1
271,12,1
272,16,1
273,14,1
274,11,1
275,10,1
276,10,1
277,11,1
278,11,1
279,12,1
280,10,1
281,11,1
282,12,1
283,11,1
284,11,1
285,10,1
286,9,1
287,9,1
288,11,1
289,10,1
290,8,1
291,8,1
292,7,1
293,9,1
294,7,1
295,7,1
296,5,1
297,9,1
298,6,1
299,7,1
300,9,1
